RAW ,EMA-12,EMA-26,TBR-24,VOL-29,MOM-25,Task-2a,Task-2b,Task-2c,Task-2d
357.54,,,,,,0,0,0,0
356.44,,,,,,0,0,0,0
358.1,,,,,,0,0,0,0
352.03,,,,,,0,0,0,0
353.13,,,,,,0,0,0,0
350.37,,,,,,0,0,0,0
345.96,,,,,,0,0,0,0
352.58,,,,,,0,0,0,0
360.85,,,,,,0,0,0,0
360.85,,,,,,0,0,0,0
359.2,,,,,,0,0,0,0
355.89,355.245,,,,,0,0,0,0
352.03,352.5246154,,,,,0,0,0,0
350.37,350.7014793,,,,,0,0,0,0
348.16,348.5509968,,,,,0,0,0,0
341.54,342.6186149,,,,,0,0,0,0
352.58,351.0474792,,,,,0,0,0,0
352.58,352.3442276,,,,,0,0,0,0
354.79,354.4137273,,,,,0,0,0,0
361.41,360.3336504,,,,,0,0,0,0
360.85,360.7705616,,,,,0,0,0,0
361.96,361.7770095,,,,,0,0,0,0
361.96,361.9318476,,,,,0,0,0,0
358.65,359.1549,,-0.009144657,,,0,2,0,0
357.54,357.7884462,,-0.012211294,,0,0,2,0,0
363.61,362.7143763,355.4219231,0.004558515,,7.17,1,2,0,1
369.13,368.142981,368.0755325,0.015181101,,11.03,1,2,0,1
370.23,369.9089201,370.0642717,0.00297998,,18.2,2,2,0,1
371.34,371.1198339,371.2418671,0.002998136,0.017843733,18.21,2,2,2,1
374.65,374.1068975,374.3878359,0.008913664,0.019419868,24.28,2,2,2,1
380.17,379.237215,379.7252181,0.014733752,0.021432226,34.21,2,2,1,1
386.24,385.1626485,385.7388629,0.015966541,0.024353291,33.66,2,2,1,1
388.99,388.4011767,388.7399125,0.007119925,0.027922625,28.14,2,2,1,1
391.75,391.2347964,391.5184548,0.007095298,0.031394702,30.9,2,2,1,1
391.2,391.2053533,391.2244965,-0.001403957,0.034489135,32,2,2,1,1
385.68,386.5300544,386.1064997,-0.015494576,0.036225018,29.79,1,2,1,1
387.89,387.6807776,387.7528077,-0.009853223,0.037205389,35.86,2,2,1,1
387.34,387.3924273,387.3717544,-0.011257179,0.038765321,36.97,1,2,1,1
387.34,387.3480657,387.3424426,-0.011257179,0.040003848,39.18,1,2,1,1
395.62,394.3473947,394.9832648,0.009878749,0.040910311,54.08,2,2,1,1
390.65,391.21883,390.9833281,-0.01256256,0.042512713,38.07,1,2,1,1
386.24,387.0059738,386.6048714,-0.02370962,0.042651608,33.66,1,1,1,1
389.55,389.1586114,389.3234516,-0.015343006,0.041796846,34.76,2,2,1,1
385.68,386.215171,385.9602655,-0.02512512,0.040617088,24.27,1,1,1,1
388.99,388.5631032,388.7569435,-0.016758506,0.037337437,28.14,2,2,1,1
385.68,386.1235543,385.916688,-0.02512512,0.03595643,23.72,1,1,1,1
386.79,386.6874699,386.7228222,-0.022319397,0.033956697,24.83,2,1,1,1
386.79,386.7742261,386.7848325,-0.022319397,0.032056749,28.14,2,1,1,1
386.79,386.7875733,386.7896025,-0.022319397,0.030949567,29.25,2,1,1,1
395.62,394.2611651,394.9407387,0,0.029505141,32.01,2,2,1,1
395.06,394.9371023,395.0508261,-0.0014155,0.028718183,25.93,2,2,1,1
402.24,401.1164773,401.6869866,0.016733229,0.027485798,32.01,2,2,1,1
402.24,402.0671504,402.1974605,0,0.026052514,30.9,2,2,1,1
403.89,403.6095616,403.7598047,0.004102029,0.023570987,29.24,2,2,1,1
403.89,403.8468556,403.879985,0,0.022162619,23.72,2,2,1,1
399.48,400.1518239,399.8184604,-0.010918815,0.021446121,13.24,1,2,1,1
396.72,397.2479729,396.9583431,-0.017752358,0.019885185,7.73,1,2,2,1
387.34,388.8643035,388.0798725,-0.040976504,0.017859494,-4.41,1,1,2,2
388.44,388.5052775,388.4122979,-0.03825299,0.016081107,-2.76,1,1,2,2
381.27,382.3831196,381.8194075,-0.056005348,0.015200623,-4.41,1,1,2,2
382.93,382.8458646,382.8445698,-0.051895318,0.015784138,-4.96,1,1,2,2
377.41,378.2462869,377.8280438,-0.065562406,0.016271545,-9.93,1,1,2,2
371.34,372.4025057,371.8390803,-0.08059125,0.017562891,-16,1,1,2,2
367.48,368.2373086,367.8153139,-0.090148308,0.019861235,-28.14,1,1,2,2
374.1,373.1980475,373.6165626,-0.073757706,0.022529193,-16.55,2,1,1,2
371.34,371.6258535,371.5151202,-0.08059125,0.023702263,-14.9,1,1,1,2
374.1,373.7193621,373.9011631,-0.073757706,0.025159348,-15.45,2,1,1,2
368.03,368.9052865,368.4816279,-0.088786551,0.026099523,-17.65,1,1,1,2
369.13,369.0954287,369.0801252,-0.086063037,0.027504764,-19.86,1,1,1,2
366.92,367.2546813,367.0861635,-0.091534824,0.028760335,-18.76,1,1,1,2
369.68,369.3068741,369.4804741,-0.08470128,0.03023875,-17.11,2,1,1,2
368.58,368.6918268,368.6492672,-0.087424794,0.031135234,-18.21,1,1,1,2
368.58,368.5972041,368.5853282,-0.087424794,0.032125759,-18.21,1,1,1,2
368.03,368.1172622,368.0727176,-0.088786551,0.032929169,-27.59,1,1,1,2
368.03,368.0434249,368.033286,-0.088786551,0.033771861,-27.03,1,1,1,2
372.44,371.7636038,372.101022,-0.077867736,0.034476449,-29.8,2,1,1,2
371.89,371.8705544,371.9062325,-0.079229493,0.034737793,-30.35,2,1,1,2
371.34,371.4216238,371.3835563,-0.08059125,0.034982473,-32.55,1,1,1,2
365.82,366.6817883,366.2479659,-0.084259537,0.034562461,-38.07,1,1,1,2
363.61,364.0825828,363.8129205,-0.083459367,0.034473054,-35.87,1,1,1,2
365.82,365.552705,365.6656093,-0.058232932,0.033276247,-30.9,2,1,1,2
360.85,361.5734931,361.2204315,-0.071027701,0.031402889,-26.49,1,1,1,2
359.2,359.5651528,359.3554178,-0.061969551,0.029071569,-29.24,1,1,1,2
358.1,358.3254081,358.1965706,-0.064842138,0.026060211,-23.17,1,1,1,2
355.89,356.2646782,356.0674285,-0.057020217,0.023432978,-27.04,1,1,1,2
357.54,357.3437966,357.4267253,-0.044266239,0.020978293,-19.87,2,1,1,2
361.41,360.7844303,361.1035943,-0.033921411,0.020001043,-9.93,2,1,1,2
356.99,357.5737585,357.3064303,-0.045736434,0.017719513,-10.49,1,1,2,2
350.92,351.9436552,351.4112639,-0.061962042,0.017285241,-23.18,1,1,2,2
347.61,348.2767162,347.9024049,-0.070809944,0.017284159,-23.73,1,1,2,2
347.61,347.7125717,347.6324927,-0.066668457,0.018749878,-26.49,1,1,2,2
341.54,342.4896264,342.0086533,-0.082966384,0.020522154,-26.49,1,1,1,2
344.85,344.4868656,344.6314349,-0.074079046,0.023550331,-24.28,2,1,1,2
347.61,347.1295178,347.3808796,-0.066668457,0.024731801,-19.31,2,1,1,2
346.51,346.6053104,346.5769907,-0.069621953,0.025425858,-23.17,1,1,1,2
343.2,343.7238939,343.4597685,-0.07850929,0.025711029,-25.38,1,1,1,2
347.06,346.5467529,346.7830591,-0.068145205,0.026926496,-21.52,2,1,1,2
345.96,346.0502697,346.0233122,-0.0710987,0.027245192,-22.07,1,1,1,2
345.41,345.508503,345.4571779,-0.072575448,0.027733321,-22.62,1,1,1,2
350.37,349.6220774,349.9920906,-0.057866573,0.027813665,-22.07,2,1,1,2
355.61,354.6887811,355.1778531,-0.042360101,0.02737206,-16.28,2,1,1,2
358.1,357.5751971,357.8752195,-0.021103275,0.026622807,-13.24,2,1,1,2
359.75,359.4154149,359.6057861,-0.01659286,0.025884361,-6.07,2,2,1,2
363.06,362.4992946,362.7942912,-0.007544694,0.025138785,-0.55,2,2,1,2
363.61,363.4391222,363.5472532,0.001514901,0.023811646,-2.21,2,2,1,2
366.37,365.9190957,366.1528656,0.00759055,0.022533527,5.52,2,2,1,1
372.99,371.9021686,372.4640666,0.018069165,0.021631362,13.79,2,2,1,1
366.92,367.6864875,367.3464667,-0.016273895,0.022959137,8.82,1,2,1,1
365.82,366.1071519,365.9374205,-0.019223035,0.023370132,9.93,1,2,1,1
366.92,366.7949464,366.844417,-0.016273895,0.023367638,9.38,2,2,1,1
366.37,366.4353764,366.4064936,-0.017748465,0.023988424,4.96,1,2,1,1
366.92,366.8454425,366.8804995,-0.016273895,0.024587457,9.93,2,2,1,1
